trading_symbol,date,open,high,low,close,volume
NVDA,2025-11-07,184.9,188.32,178.91,188.15,264942300.0
NVDA,2025-11-06,196.42,197.62,186.38,188.08,223029800.0
NVDA,2025-11-05,198.77,202.92,194.65,195.21,171350300.0
NVDA,2025-11-04,203.0,203.9699,197.93,198.69,188919300.0
NVDA,2025-11-03,208.08,211.335,205.56,206.88,180267300.0
NVDA,2025-10-31,206.45,207.97,202.07,202.49,179802200.0
NVDA,2025-10-30,205.15,206.16,201.41,202.89,178864400.0
NVDA,2025-10-29,207.98,212.1899,204.775,207.04,308829600.0
NVDA,2025-10-28,193.05,203.15,191.91,201.03,297986200.0
NVDA,2025-10-27,189.99,192.0,188.4318,191.49,153452700.0
NVDA,2025-10-24,183.835,187.47,183.5,186.26,131296700.0
NVDA,2025-10-23,180.42,183.03,179.7901,182.16,111363700.0
NVDA,2025-10-22,181.14,183.44,176.76,180.28,162249600.0
NVDA,2025-10-21,182.785,182.785,179.8,181.16,124240200.0
NVDA,2025-10-20,183.13,185.2,181.73,182.64,128544700.0
NVDA,2025-10-17,180.18,184.1,179.75,183.22,173135200.0
NVDA,2025-10-16,182.23,183.28,179.77,181.81,179723300.0
NVDA,2025-10-15,184.8,184.87,177.29,179.83,214450500.0
NVDA,2025-10-14,184.77,184.8,179.7,180.03,205641400.0
NVDA,2025-10-13,187.965,190.1099,185.96,188.32,153482800.0
NVDA,2025-10-10,193.505,195.62,182.05,183.16,268774400.0
NVDA,2025-10-09,192.225,195.3,191.06,192.57,182997200.0
NVDA,2025-10-08,186.57,189.6,186.54,189.11,130168900.0
NVDA,2025-10-07,186.23,189.06,184.0,185.04,140088000.0
NVDA,2025-10-06,185.5,187.23,183.33,185.54,157678100.0
NVDA,2025-10-03,189.19,190.36,185.38,187.62,137596900.0
NVDA,2025-10-02,189.6,191.05,188.06,188.89,136805800.0
NVDA,2025-10-01,185.24,188.14,183.9,187.24,173844900.0
NVDA,2025-09-30,182.08,187.35,181.48,186.58,236981000.0
NVDA,2025-09-29,180.425,184.0,180.32,181.85,193063500.0
NVDA,2025-09-26,178.17,179.77,174.93,178.19,148573700.0
NVDA,2025-09-25,174.48,180.26,173.125,177.69,191586700.0
NVDA,2025-09-24,179.77,179.78,175.4,176.97,143564100.0
NVDA,2025-09-23,181.97,182.42,176.21,178.43,192559600.0
NVDA,2025-09-22,175.3,184.55,174.7053,183.61,269637000.0
NVDA,2025-09-19,175.77,178.08,175.18,176.67,237182100.0
NVDA,2025-09-18,173.98,177.1,172.96,176.24,191763300.0
NVDA,2025-09-17,172.64,173.2,168.41,170.29,211843800.0
NVDA,2025-09-16,177.0,177.5,174.38,174.88,140737800.0
NVDA,2025-09-15,175.67,178.85,174.51,177.75,147061600.0
NVDA,2025-09-12,177.77,178.595,176.45,177.82,124911000.0
NVDA,2025-09-11,179.68,180.28,176.48,177.17,151159300.0
NVDA,2025-09-10,176.64,179.29,175.47,177.33,226852000.0
NVDA,2025-09-09,169.09,170.98,166.7401,170.76,157548400.0
NVDA,2025-09-08,167.55,170.96,167.35,168.31,163769100.0
NVDA,2025-09-05,168.03,169.03,164.07,167.02,224441400.0
NVDA,2025-09-04,170.57,171.86,169.41,171.66,141670100.0
NVDA,2025-09-03,171.06,172.41,168.875,170.62,164424900.0
NVDA,2025-09-02,170.0,172.379,167.22,170.78,231164900.0
NVDA,2025-08-29,178.11,178.15,173.145,174.18,243257900.0
NVDA,2025-08-28,180.82,184.47,176.41,180.17,281787800.0
NVDA,2025-08-27,181.98,182.49,179.1,181.6,235518900.0
NVDA,2025-08-26,180.055,182.39,178.81,181.77,168688200.0
NVDA,2025-08-25,178.35,181.91,176.57,179.81,163012800.0
NVDA,2025-08-22,172.61,178.59,171.2,177.99,172789400.0
NVDA,2025-08-21,174.85,176.9,173.81,174.98,140040900.0
NVDA,2025-08-20,175.165,176.0,168.801,175.4,215142700.0
NVDA,2025-08-19,182.43,182.5,175.49,175.64,185229200.0
NVDA,2025-08-18,180.6,182.9375,180.59,182.01,132008000.0
NVDA,2025-08-15,181.88,181.9,178.0417,180.45,156602200.0
NVDA,2025-08-14,179.75,183.02,179.46,182.02,129554000.0
NVDA,2025-08-13,182.615,183.97,179.35,181.59,179871700.0
NVDA,2025-08-12,182.96,184.48,179.46,183.16,145729200.0
NVDA,2025-08-11,182.05,183.84,180.25,182.06,138323200.0
NVDA,2025-08-08,181.55,183.3,180.4,182.7,123396700.0
NVDA,2025-08-07,181.57,183.88,178.795,180.77,151878400.0
NVDA,2025-08-06,176.325,179.9,176.25,179.42,137192300.0
NVDA,2025-08-05,179.62,180.26,175.9,178.26,156407600.0
NVDA,2025-08-04,175.16,180.2,174.52,180.0,148174600.0
NVDA,2025-08-01,174.09,176.54,170.89,173.72,204529000.0
NVDA,2025-07-31,182.9,183.3,175.93,177.87,221685400.0
NVDA,2025-07-30,176.51,179.89,176.04,179.27,174312200.0
NVDA,2025-07-29,177.96,179.38,175.02,175.51,154077500.0
NVDA,2025-07-28,174.02,177.0,173.97,176.75,140023500.0
NVDA,2025-07-25,173.61,174.72,172.96,173.5,122316800.0
NVDA,2025-07-24,172.44,173.83,171.3,173.74,128984600.0
NVDA,2025-07-23,169.53,171.26,167.97,170.78,154082200.0
NVDA,2025-07-22,171.34,171.39,164.58,167.03,193114300.0
NVDA,2025-07-21,172.75,173.38,171.0,171.38,123126100.0
NVDA,2025-07-18,173.64,174.25,171.26,172.41,146456400.0
NVDA,2025-07-17,172.02,174.16,170.83,173.0,160841100.0
NVDA,2025-07-16,171.06,171.75,168.9,171.37,158831500.0
NVDA,2025-07-15,171.19,172.4,169.195,170.7,230627400.0
NVDA,2025-07-14,165.37,165.49,162.02,164.07,136975800.0
NVDA,2025-07-11,163.715,167.89,163.47,164.92,193633300.0
NVDA,2025-07-10,164.32,164.5,161.61,164.1,167704100.0
NVDA,2025-07-09,161.22,164.42,161.16,162.88,183656400.0
NVDA,2025-07-08,159.33,160.22,158.39,160.0,138133000.0
NVDA,2025-07-07,158.2,159.31,157.342,158.24,140139000.0
NVDA,2025-07-03,158.37,160.98,157.77,159.34,143716100.0
NVDA,2025-07-02,152.98,157.6,152.97,157.25,171224100.0
NVDA,2025-07-01,156.29,157.2,151.49,153.3,213143600.0
NVDA,2025-06-30,158.4,158.66,155.96,157.99,194580300.0
NVDA,2025-06-27,156.04,158.71,155.255,157.75,263234500.0
NVDA,2025-06-26,155.975,156.715,154.0,155.02,198145700.0
NVDA,2025-06-25,149.27,154.45,149.26,154.31,269146500.0
NVDA,2025-06-24,145.56,147.96,145.5,147.9,187566100.0
NVDA,2025-06-23,142.5,144.78,142.03,144.17,154308900.0
NVDA,2025-06-20,145.45,146.2,142.65,143.85,242956200.0
NVDA,2025-06-18,144.005,145.65,143.12,145.48,161494100.0
NVDA,2025-06-17,144.49,145.22,143.78,144.12,139108000.0
NVDA,2025-06-16,143.345,146.175,143.2001,144.69,183133700.0
NVDA,2025-06-13,142.48,143.58,140.855,141.97,180820600.0
NVDA,2025-06-12,141.97,145.0,141.85,145.0,162365000.0
NVDA,2025-06-11,144.61,144.99,141.87,142.83,167694000.0
NVDA,2025-06-10,142.69,144.29,141.525,143.96,155881900.0
NVDA,2025-06-09,143.19,145.0,141.94,142.63,185114500.0
NVDA,2025-06-06,142.51,143.27,141.51,141.72,153986200.0
NVDA,2025-06-05,142.17,144.0,138.83,139.99,232410800.0
NVDA,2025-06-04,142.19,142.39,139.545,141.92,167120800.0
NVDA,2025-06-03,138.78,142.0,137.95,141.22,225578800.0
NVDA,2025-06-02,135.49,138.12,135.4,137.38,197663100.0
NVDA,2025-05-30,138.715,139.62,132.92,135.13,333170900.0
NVDA,2025-05-29,142.245,143.49,137.91,139.19,370615200.0
NVDA,2025-05-28,136.025,137.25,134.79,134.81,304021100.0
NVDA,2025-05-27,134.15,135.66,133.31,135.5,192953600.0
NVDA,2025-05-23,130.0,132.68,129.16,131.29,198821300.0
NVDA,2025-05-22,132.23,134.25,131.55,132.83,187344000.0
NVDA,2025-05-21,133.06,137.4,130.59,131.8,270608700.0
NVDA,2025-05-20,134.29,134.58,132.62,134.38,161514200.0
NVDA,2025-05-19,132.39,135.87,132.39,135.57,193154600.0
NVDA,2025-05-16,136.22,136.35,133.46,135.4,226542500.0
NVDA,2025-05-15,134.295,136.3,132.66,134.83,226632600.0
NVDA,2025-05-14,133.195,135.435,131.68,135.34,281180800.0
NVDA,2025-05-13,124.98,131.2189,124.47,129.93,330430100.0
NVDA,2025-05-12,121.97,123.0,120.28,123.0,225023300.0
NVDA,2025-05-09,117.35,118.23,115.21,116.65,132972200.0
NVDA,2025-05-08,118.25,118.68,115.85,117.37,198428100.0
NVDA,2025-05-07,113.045,117.68,112.2818,117.06,207827800.0
NVDA,2025-05-06,111.48,114.74,110.822,113.54,158525600.0
NVDA,2025-05-05,112.905,114.665,112.66,113.82,133163200.0
NVDA,2025-05-02,114.18,115.4,113.37,114.5,190194800.0
NVDA,2025-05-01,113.08,114.94,111.3,111.61,236121500.0
NVDA,2025-04-30,104.47,108.92,104.08,108.92,235044600.0
NVDA,2025-04-29,107.67,110.1999,107.44,109.02,170444300.0
NVDA,2025-04-28,109.69,110.3699,106.02,108.73,207708500.0
NVDA,2025-04-25,106.85,111.92,105.73,111.01,251064700.0
NVDA,2025-04-24,103.475,106.54,103.11,106.43,220815000.0
NVDA,2025-04-23,104.52,104.8,102.02,102.71,247526000.0
NVDA,2025-04-22,98.78,99.811,97.28,98.89,241004800.0
NVDA,2025-04-21,98.77,99.44,95.04,96.91,288501100.0
NVDA,2025-04-17,104.45,104.47,100.05,101.49,292517500.0
NVDA,2025-04-16,104.55,106.79,100.45,104.49,397016900.0
NVDA,2025-04-15,110.97,113.615,110.5,112.2,228966900.0
NVDA,2025-04-14,114.11,114.29,109.07,110.71,264705000.0
NVDA,2025-04-11,108.5,111.5499,107.48,110.93,313417300.0
NVDA,2025-04-10,109.37,110.86,99.15,107.57,437812400.0
NVDA,2025-04-09,98.89,115.1,97.5301,114.33,612918300.0
NVDA,2025-04-08,103.805,105.85,94.46,96.3,476243400.0
NVDA,2025-04-07,87.46,101.75,86.62,97.64,611041300.0
NVDA,2025-04-04,98.91,100.13,92.11,94.31,532273800.0
NVDA,2025-04-03,103.51,105.63,101.6,101.8,338769400.0
NVDA,2025-04-02,107.29,111.98,106.79,110.42,220601200.0
NVDA,2025-04-01,108.515,110.2,106.47,110.15,222614000.0
NVDA,2025-03-31,105.13,110.955,103.65,108.38,299212700.0
NVDA,2025-03-28,111.485,112.87,109.0701,109.67,229872500.0
NVDA,2025-03-27,111.35,114.45,110.66,111.43,236902100.0
NVDA,2025-03-26,118.73,118.84,112.71,113.76,296431700.0
NVDA,2025-03-25,120.545,121.29,118.92,120.69,167447200.0
NVDA,2025-03-24,119.88,122.22,119.34,121.41,228452500.0
NVDA,2025-03-21,116.94,117.99,115.42,117.7,266498500.0
NVDA,2025-03-20,116.55,120.2,116.47,118.53,248829700.0
NVDA,2025-03-19,117.27,120.445,115.68,117.52,273426200.0
NVDA,2025-03-18,118.0,119.02,114.54,115.43,299686900.0
NVDA,2025-03-17,122.74,122.89,118.03,119.53,255501500.0
NVDA,2025-03-14,118.61,121.88,118.15,121.67,277593500.0
NVDA,2025-03-13,117.03,117.76,113.79,115.58,299033100.0
NVDA,2025-03-12,114.12,116.76,112.88,115.74,323857500.0
NVDA,2025-03-11,106.99,112.236,104.77,108.76,354865700.0
NVDA,2025-03-10,109.9,111.85,105.46,106.98,366487400.0
NVDA,2025-03-07,111.25,113.48,107.56,112.69,341755500.0
NVDA,2025-03-06,113.53,115.35,110.22,110.57,321181900.0
NVDA,2025-03-05,117.58,118.2781,114.51,117.3,284337900.0
NVDA,2025-03-04,110.645,119.31,110.11,115.99,398163300.0
NVDA,2025-03-03,123.51,123.7,112.28,114.06,411381400.0
NVDA,2025-02-28,118.02,125.09,116.4,124.92,389091100.0
NVDA,2025-02-27,135.0,135.01,120.01,120.15,443175800.0
NVDA,2025-02-26,129.985,133.73,128.49,131.28,322553800.0
NVDA,2025-02-25,129.98,130.2,124.44,126.63,271428700.0
NVDA,2025-02-24,136.56,138.59,130.08,130.28,251381100.0
NVDA,2025-02-21,140.04,141.46,134.03,134.43,228217600.0
NVDA,2025-02-20,140.03,140.66,136.7901,140.11,143903600.0
NVDA,2025-02-19,139.51,141.36,137.22,139.23,167536000.0
NVDA,2025-02-18,141.27,143.44,137.925,139.4,219176600.0
NVDA,2025-02-14,136.48,139.25,135.5,138.85,195479600.0
NVDA,2025-02-13,131.555,136.5,131.17,135.29,197430000.0
NVDA,2025-02-12,130.02,132.24,129.08,131.14,160278600.0
NVDA,2025-02-11,132.58,134.48,131.02,132.8,178902400.0
NVDA,2025-02-10,130.09,135.0,129.96,133.57,216989100.0
NVDA,2025-02-07,129.22,130.37,125.0,129.84,228186300.0
NVDA,2025-02-06,127.42,128.77,125.21,128.68,251483600.0
NVDA,2025-02-05,121.76,125.0,120.76,124.83,263110600.0
